Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,sales
FDX02,,Low Fat,0.056783774,Dairy,223.1404,OUT027,1985,Medium,Tier 3,Supermarket Type3,4132.891812
FDQ16,,Low Fat,0.041536279,Frozen Foods,107.7912,OUT027,1985,Medium,Tier 3,Supermarket Type3,4591.855148
FDU35,6.44,Low Fat,0.079538056,Breads,99.47,OUT018,2009,Medium,Tier 3,Supermarket Type2,2659.824819
NCT29,12.6,Low Fat,0.064057374,Health and Hygiene,122.1414,OUT013,1987,High,Tier 3,Supermarket Type1,33.29
FDZ27,7.935,Low Fat,0.017156262,Dairy,48.135,OUT046,1997,Small,Tier 1,Supermarket Type1,1457.330319
FDN57,18.25,Low Fat,0.054540968,Snack Foods,140.4154,OUT017,2007,,Tier 2,Supermarket Type1,3308.487124
FDA03,18.5,Regular,0.045648973,Dairy,145.6102,OUT018,2009,Medium,Tier 3,Supermarket Type2,2124.737872
FDZ36,6.035,Regular,0.065917194,Baking Goods,185.724,OUT045,2002,,Tier 2,Supermarket Type1,2115.695343
NCU05,11.8,Low Fat,0.058687359,Health and Hygiene,81.1618,OUT013,1987,High,Tier 3,Supermarket Type1,796.197012
FDT39,6.26,Regular,0.009908113,Meat,151.1366,OUT018,2009,Medium,Tier 3,Supermarket Type2,2478.532331
FDK60,16.5,Regular,0.094395215,Baking Goods,97.2068,OUT017,2007,,Tier 2,Supermarket Type1,4703.217734
FDZ25,15.7,Regular,0.02777326,Canned,169.279,OUT017,2007,,Tier 2,Supermarket Type1,1807.073105
FDG12,6.635,reg,0.006326106,Baking Goods,122.1098,OUT046,1997,Small,Tier 1,Supermarket Type1,1223.172659
DRB01,,low fat,0.143990546,Soft Drinks,191.553,OUT019,1985,Small,Tier 1,Grocery Store,675.2602094
NCC43,,Low Fat,0.09233359,Household,250.6066,OUT027,1985,Medium,Tier 3,Supermarket Type3,75.03971765
FDX13,,Low Fat,0.083661793,Canned,248.6092,OUT019,1985,Small,Tier 1,Grocery Store,4118.834785
FDM22,14,Regular,0.042022999,Snack Foods,53.064,OUT049,1999,Medium,Tier 1,Supermarket Type1,3638.108834
FDJ03,,Regular,0.072044336,Dairy,48.8692,OUT027,1985,Medium,Tier 3,Supermarket Type3,3310.910027
FDU14,17.75,Low Fat,0,Dairy,249.775,OUT018,2009,Medium,Tier 3,Supermarket Type2,2512.422843
FDB33,17.75,Low Fat,0.024404214,Fruits and Vegetables,159.0262,OUT010,1998,,Tier 3,Grocery Store,4317.801393
FDP27,8.155,Low Fat,0.119450639,Meat,190.653,OUT046,1997,Small,Tier 1,Supermarket Type1,4662.599735
FDO38,17.25,Low Fat,0.121917641,Canned,76.6986,OUT010,1998,,Tier 3,Grocery Store,33.29
FDE28,,Regular,0.131905128,Frozen Foods,232.0668,OUT027,1985,Medium,Tier 3,Supermarket Type3,1279.185881
FDO27,6.175,Regular,0.179043614,Meat,95.3752,OUT035,2004,Small,Tier 2,Supermarket Type1,1223.324876
DRL23,,Low Fat,0.0152302,Hard Drinks,107.0938,OUT027,1985,Medium,Tier 3,Supermarket Type3,2965.287855
FDS28,8.18,Regular,0.082401592,Frozen Foods,55.9588,OUT046,1997,Small,Tier 1,Supermarket Type1,2968.812969
FDX24,8.355,Low Fat,0.013917468,Baking Goods,92.5462,OUT013,1987,High,Tier 3,Supermarket Type1,745.1742693
FDZ02,6.905,Regular,0.038140213,Dairy,96.3726,OUT035,2004,Small,Tier 2,Supermarket Type1,33.29
FDL46,20.35,Low Fat,0.054166556,Snack Foods,116.9466,OUT045,2002,,Tier 2,Supermarket Type1,33.29
FDS60,,Low Fat,0.03229139,Baking Goods,178.766,OUT027,1985,Medium,Tier 3,Supermarket Type3,33.29
NCO06,19.25,Low Fat,0.108641498,Household,33.0558,OUT017,2007,,Tier 2,Supermarket Type1,968.8722406
FDO16,5.48,Low Fat,0.015105338,Frozen Foods,84.625,OUT035,2004,Small,Tier 2,Supermarket Type1,1009.769873
FDC60,5.425,Regular,0.114650377,Baking Goods,87.3514,OUT049,1999,Medium,Tier 1,Supermarket Type1,3012.670902
FDA48,12.1,Low Fat,0.115342009,Baking Goods,220.2114,OUT018,2009,Medium,Tier 3,Supermarket Type2,3837.161295
FDZ36,,Regular,0,Baking Goods,186.424,OUT027,1985,Medium,Tier 3,Supermarket Type3,2213.994116
FDK27,11,Low Fat,0.00896468,Meat,120.6756,OUT045,2002,,Tier 2,Supermarket Type1,2233.435164
FDW23,5.765,Low Fat,0.082346376,Baking Goods,38.8164,OUT018,2009,Medium,Tier 3,Supermarket Type2,5809.373942
FDM14,13.8,Low Fat,0.013318,Canned,110.1254,OUT018,2009,Medium,Tier 3,Supermarket Type2,2834.093925
FDM14,13.8,Low Fat,0.01325293,Canned,108.2254,OUT013,1987,High,Tier 3,Supermarket Type1,2354.970193
FDW60,5.44,Regular,0.017131453,Baking Goods,177.837,OUT018,2009,Medium,Tier 3,Supermarket Type2,4303.781346
FDE21,12.8,Low Fat,0.022925594,Fruits and Vegetables,116.4492,OUT013,1987,High,Tier 3,Supermarket Type1,2324.95501
NCM42,6.13,Low Fat,0.028316137,Household,109.3912,OUT035,2004,Small,Tier 2,Supermarket Type1,2225.699949
FDY59,8.195,Low Fat,0.052562923,Baking Goods,93.9462,OUT010,1998,,Tier 3,Grocery Store,1504.992571
DRI49,14.15,Low Fat,0.1837926,Soft Drinks,81.3276,OUT049,1999,Medium,Tier 1,Supermarket Type1,2534.73252
FDT28,,Low Fat,0.111296158,Frozen Foods,151.2708,OUT019,1985,Small,Tier 1,Grocery Store,1348.073514
FDQ22,16.75,Low Fat,0.029860799,Snack Foods,39.5822,OUT018,2009,Medium,Tier 3,Supermarket Type2,1981.876878
FDR60,14.3,LF,0.130617879,Baking Goods,76.5328,OUT049,1999,Medium,Tier 1,Supermarket Type1,596.5280368
FDC50,,LF,0.238990225,Canned,94.7094,OUT019,1985,Small,Tier 1,Grocery Store,4068.892595
FDV24,5.635,Low Fat,0.103186396,Baking Goods,151.805,OUT013,1987,High,Tier 3,Supermarket Type1,1762.482882
DRF48,5.73,Low Fat,0,Soft Drinks,188.3898,OUT010,1998,,Tier 3,Grocery Store,2072.850075
FDQ47,7.155,Regular,0.168186376,Breads,36.5874,OUT046,1997,Small,Tier 1,Supermarket Type1,33.29
DRN36,15.2,low fat,0.050255855,Soft Drinks,97.3752,OUT049,1999,Medium,Tier 1,Supermarket Type1,1732.812968
NCY06,15.25,Low Fat,0.061173235,Household,128.5968,OUT035,2004,Small,Tier 2,Supermarket Type1,4713.806666
FDE52,10.395,Regular,0.029881147,Dairy,89.5514,OUT035,2004,Small,Tier 2,Supermarket Type1,3180.076368
NCB54,8.76,Low Fat,0.050154219,Health and Hygiene,126.9336,OUT045,2002,,Tier 2,Supermarket Type1,1022.158628
NCF31,9.13,Low Fat,0.051837621,Household,152.6024,OUT035,2004,Small,Tier 2,Supermarket Type1,1484.548537
FDJ08,,Low Fat,0.11013617,Fruits and Vegetables,189.7846,OUT027,1985,Medium,Tier 3,Supermarket Type3,1596.760489
NCC07,19.6,Low Fat,0.024086626,Household,106.0964,OUT017,2007,,Tier 2,Supermarket Type1,1275.035532
NCD19,,Low Fat,0.013115567,Household,53.7614,OUT027,1985,Medium,Tier 3,Supermarket Type3,1750.262066
FDL46,20.35,Low Fat,0,Snack Foods,118.9466,OUT049,1999,Medium,Tier 1,Supermarket Type1,4296.287968
FDM20,10,Low Fat,0.038764258,Fruits and Vegetables,246.2144,OUT045,2002,,Tier 2,Supermarket Type1,1129.802346
NCI06,11.3,Low Fat,0.07986963,Household,180.466,OUT010,1998,,Tier 3,Grocery Store,689.1470686
DRM11,6.57,Low Fat,0.066057085,Hard Drinks,259.3278,OUT035,2004,Small,Tier 2,Supermarket Type1,232.6678307
NCH07,13.15,Low Fat,0.093044518,Household,158.4604,OUT018,2009,Medium,Tier 3,Supermarket Type2,1193.45963
FDS23,4.635,Low Fat,0.140771867,Breads,129.4994,OUT013,1987,High,Tier 3,Supermarket Type1,6198.003891
FDO49,10.6,Regular,0.033186809,Breakfast,49.1008,OUT018,2009,Medium,Tier 3,Supermarket Type2,4466.564611
FDS35,9.3,Low Fat,0.11139344,Breads,65.2826,OUT049,1999,Medium,Tier 1,Supermarket Type1,3390.575633
DRK39,7.02,Low Fat,0.049966527,Dairy,82.525,OUT045,2002,,Tier 2,Supermarket Type1,3910.538387
DRI39,13.8,Low Fat,0.097212998,Dairy,58.293,OUT049,1999,Medium,Tier 1,Supermarket Type1,1088.623185
FDV04,7.825,Regular,0.150863781,Frozen Foods,158.0288,OUT017,2007,,Tier 2,Supermarket Type1,1370.322121
NCN14,19.1,Low Fat,0.091900406,Others,182.5608,OUT035,2004,Small,Tier 2,Supermarket Type1,4311.57773
FDH08,7.51,Low Fat,0.017414576,Fruits and Vegetables,231.101,OUT013,1987,High,Tier 3,Supermarket Type1,2110.942398
FDS20,8.85,Low Fat,0.053866912,Fruits and Vegetables,183.0292,OUT046,1997,Small,Tier 1,Supermarket Type1,1584.994482
FDV40,17.35,Low Fat,0.014714625,Frozen Foods,75.4038,OUT049,1999,Medium,Tier 1,Supermarket Type1,4377.46366
FDZ48,17.75,Low Fat,0.127140836,Baking Goods,110.5544,OUT010,1998,,Tier 3,Grocery Store,33.29
FDS24,,Regular,0.061923154,Baking Goods,87.5514,OUT027,1985,Medium,Tier 3,Supermarket Type3,4045.853684
FDK44,16.6,Low Fat,0.122417514,Fruits and Vegetables,174.3738,OUT049,1999,Medium,Tier 1,Supermarket Type1,2835.484467
FDS48,15.15,Low Fat,0,Baking Goods,150.4708,OUT045,2002,,Tier 2,Supermarket Type1,1002.329404
FDK26,5.46,Regular,0.053858378,Canned,186.924,OUT010,1998,,Tier 3,Grocery Store,2058.175701
FDD23,9.5,Regular,0.048784266,Starchy Foods,188.5898,OUT045,2002,,Tier 2,Supermarket Type1,2988.374289
NCH54,13.5,LF,0.073080167,Household,161.492,OUT017,2007,,Tier 2,Supermarket Type1,1388.588073
NCP14,8.275,Low Fat,0.184602443,Household,106.5306,OUT010,1998,,Tier 3,Grocery Store,3572.374006
FDM60,10.8,Regular,0.080582001,Baking Goods,39.4138,OUT010,1998,,Tier 3,Grocery Store,909.92993
FDV24,5.635,Low Fat,0.103856487,Baking Goods,151.305,OUT017,2007,,Tier 2,Supermarket Type1,2793.143223
FDH08,7.51,Low Fat,0.017500079,Fruits and Vegetables,228.801,OUT018,2009,Medium,Tier 3,Supermarket Type2,33.29
FDS12,,Low Fat,0.173275373,Baking Goods,127.6362,OUT027,1985,Medium,Tier 3,Supermarket Type3,1266.183982
FDR39,,Low Fat,0.083393481,Meat,180.6292,OUT027,1985,Medium,Tier 3,Supermarket Type3,2276.296475
FDP12,,Regular,0.0450476,Baking Goods,36.4874,OUT027,1985,Medium,Tier 3,Supermarket Type3,1309.868175
DRF60,,Low Fat,0.051816577,Soft Drinks,236.4564,OUT027,1985,Medium,Tier 3,Supermarket Type3,33.29
FDC09,15.5,Regular,0.026297031,Fruits and Vegetables,102.7332,OUT035,2004,Small,Tier 2,Supermarket Type1,4170.965035
FDF50,4.905,low fat,0.117808305,Canned,198.5768,OUT018,2009,Medium,Tier 3,Supermarket Type2,3451.415822
FDG28,9.285,Regular,0.049270974,Frozen Foods,243.9144,OUT035,2004,Small,Tier 2,Supermarket Type1,1080.045634
NCE19,8.97,Low Fat,0.093540749,Household,55.4956,OUT017,2007,,Tier 2,Supermarket Type1,2989.063164
NCM53,18.75,Low Fat,0.087105823,Health and Hygiene,108.228,OUT010,1998,,Tier 3,Grocery Store,415.9997209
NCN18,8.895,Low Fat,0,Household,110.9544,OUT049,1999,Medium,Tier 1,Supermarket Type1,5217.82995
FDF32,16.35,Low Fat,0.068068082,Fruits and Vegetables,199.1426,OUT035,2004,Small,Tier 2,Supermarket Type1,906.4781393
FDF11,10.195,Regular,0.01761655,Starchy Foods,239.4538,OUT013,1987,High,Tier 3,Supermarket Type1,5196.233979
DRI59,9.5,Low Fat,0.040898157,Hard Drinks,225.2088,OUT049,1999,Medium,Tier 1,Supermarket Type1,3934.824224
NCG54,12.1,Low Fat,0.079791176,Household,169.5106,OUT035,2004,Small,Tier 2,Supermarket Type1,2270.375535
FDM44,12.5,Low Fat,0.031049674,Fruits and Vegetables,101.399,OUT046,1997,Small,Tier 1,Supermarket Type1,33.29
FDT57,15.2,Low Fat,0.019112323,Snack Foods,236.2248,OUT018,2009,Medium,Tier 3,Supermarket Type2,284.6776989
FDV24,5.635,Low Fat,0.103272336,Baking Goods,151.205,OUT046,1997,Small,Tier 1,Supermarket Type1,1627.342416
FDI50,,Regular,0.054001526,Canned,227.8352,OUT019,1985,Small,Tier 1,Grocery Store,1582.984006
FDS09,8.895,Regular,0.081073148,Snack Foods,51.2008,OUT035,2004,Small,Tier 2,Supermarket Type1,1548.046338
NCC31,,Low Fat,0.019774239,Household,154.5972,OUT027,1985,Medium,Tier 3,Supermarket Type3,33.29
FDQ07,,Regular,0.153038134,Fruits and Vegetables,219.0456,OUT019,1985,Small,Tier 1,Grocery Store,5695.339156
FDC22,6.89,Regular,0.13720009,Snack Foods,191.882,OUT017,2007,,Tier 2,Supermarket Type1,2468.943221
FDZ56,16.25,Low Fat,0.02573698,Fruits and Vegetables,169.3474,OUT046,1997,Small,Tier 1,Supermarket Type1,2254.287634
FDZ40,,Low Fat,0.070354806,Frozen Foods,53.9298,OUT019,1985,Small,Tier 1,Grocery Store,33.29
FDS46,,Regular,0.047028483,Snack Foods,118.3782,OUT027,1985,Medium,Tier 3,Supermarket Type3,3081.362599
DRD24,13.85,Low Fat,0.030857538,Soft Drinks,140.6154,OUT045,2002,,Tier 2,Supermarket Type1,787.7211723
FDV45,16.75,Low Fat,0.045302246,Snack Foods,189.1556,OUT017,2007,,Tier 2,Supermarket Type1,1100.797711
FDL26,18,Low Fat,0.073341257,Canned,155.7972,OUT045,2002,,Tier 2,Supermarket Type1,2150.9561
FDA56,9.21,Low Fat,0.00880049,Fruits and Vegetables,123.0414,OUT018,2009,Medium,Tier 3,Supermarket Type2,4805.204415
FDN27,20.85,Low Fat,0.039562497,Meat,118.1808,OUT046,1997,Small,Tier 1,Supermarket Type1,4884.443889
FDM20,10,Low Fat,0.038745948,Fruits and Vegetables,245.0144,OUT049,1999,Medium,Tier 1,Supermarket Type1,33.29
FDO16,5.48,Low Fat,0.015193653,Frozen Foods,82.825,OUT017,2007,,Tier 2,Supermarket Type1,2294.901314
FDL03,19.25,Regular,0.027075481,Meat,195.611,OUT035,2004,Small,Tier 2,Supermarket Type1,2826.279821
FDE58,18.5,Low Fat,0.052068722,Snack Foods,117.0124,OUT046,1997,Small,Tier 1,Supermarket Type1,3720.821164
FDI02,,Regular,0.114010306,Canned,112.2202,OUT027,1985,Medium,Tier 3,Supermarket Type3,2211.793146
NCC55,,LF,0.111641021,Household,38.8848,OUT019,1985,Small,Tier 1,Grocery Store,2000.295171
FDR03,15.7,Regular,0.008771522,Meat,205.798,OUT018,2009,Medium,Tier 3,Supermarket Type2,3802.080092
FDB14,20.25,Regular,0.103304968,Canned,92.612,OUT017,2007,,Tier 2,Supermarket Type1,4136.209845
FDR45,10.8,LF,0.028919203,Snack Foods,240.9222,OUT013,1987,High,Tier 3,Supermarket Type1,4188.510568
NCN07,18.5,Low Fat,0.034136703,Others,130.0284,OUT017,2007,,Tier 2,Supermarket Type1,751.4741318
FDM51,,Regular,0.045393469,Meat,102.2674,OUT019,1985,Small,Tier 1,Grocery Store,1316.958526
FDT52,,Regular,0.047199898,Frozen Foods,244.9144,OUT027,1985,Medium,Tier 3,Supermarket Type3,1327.126489
FDL26,18,Low Fat,0.07319282,Canned,154.2972,OUT046,1997,Small,Tier 1,Supermarket Type1,2307.949822
NCZ42,10.5,Low Fat,0.011287929,Household,238.9248,OUT046,1997,Small,Tier 1,Supermarket Type1,3106.890543
DRI47,,Low Fat,0.036628533,Hard Drinks,145.6128,OUT019,1985,Small,Tier 1,Grocery Store,3328.029233
FDW40,14,Regular,0.105057952,Frozen Foods,141.1812,OUT013,1987,High,Tier 3,Supermarket Type1,2856.257273
FDN34,15.6,Regular,0,Snack Foods,169.2132,OUT046,1997,Small,Tier 1,Supermarket Type1,2510.504682
